iter	MultiRMSE
0	470.8415999
1	463.2117202
2	455.9121633
3	448.9774987
4	442.3229171
5	435.9294803
6	429.8382093
7	423.9816929
8	418.4068295
9	413.0281116
10	407.8398589
11	402.9554431
12	398.2768889
13	393.755889
14	389.4230539
15	385.2829886
16	381.2737696
17	377.4973424
18	373.8594174
19	370.3434743
20	366.9814013
21	363.7579154
22	360.697982
23	357.7710144
24	354.9161898
25	352.2477619
26	349.7094345
27	347.2424137
28	344.8226234
29	342.5682004
30	340.4280922
31	338.367442
32	336.3033433
33	334.3841624
34	332.5491663
35	330.8149831
36	329.0569985
37	327.4594442
38	325.9130827
39	324.3423877
40	322.9092952
41	321.5430062
42	320.2418778
43	318.9192599
44	317.6280936
45	316.4460076
46	315.3391344
47	314.217188
48	313.1719854
49	312.172391
50	311.1390012
51	310.0312922
52	309.064908
53	308.2134594
54	307.4046857
55	306.59489
56	305.7872295
57	305.0037909
58	304.2598405
59	303.4173529
60	302.6572656
61	301.8653113
62	301.0861673
63	300.4343782
64	299.7711065
65	299.2142917
66	298.608465
67	298.0391719
68	297.5047959
69	296.9071909
70	296.3617257
71	295.8051544
72	295.2563821
73	294.7358949
74	294.1779767
75	293.6578484
76	293.2101059
77	292.6760921
78	292.2727237
79	291.7353351
80	291.3378854
81	290.7118404
82	290.2891563
83	289.8025052
84	289.3694821
85	288.9813734
86	288.6254766
87	288.2665365
88	287.9774502
89	287.6248527
90	287.2428714
91	286.7876881
92	286.4704594
93	286.1392621
94	285.8360775
95	285.4297819
96	285.0408656
97	284.7228615
98	284.3536113
99	283.9901675
100	283.6967933
101	283.4481308
102	283.1900164
103	282.9260285
104	282.6892664
105	282.3943222
106	282.1479511
107	281.8921325
108	281.585743
109	281.3603854
110	281.0604271
111	280.8479244
112	280.6295239
113	280.3363938
114	280.1315218
115	279.8383819
116	279.5639073
117	279.3451393
118	279.1475452
119	278.9191996
120	278.6831534
121	278.4494966
122	278.1916971
123	277.8830669
124	277.5874903
125	277.3725672
126	277.1597403
127	276.9481943
128	276.7032654
129	276.4512064
130	276.2502194
131	276.0094753
132	275.8132963
133	275.6111275
134	275.4190219
135	275.2361306
136	275.0307364
137	274.809986
138	274.5929339
139	274.397326
140	274.2119793
141	274.0422668
142	273.8016105
143	273.579381
144	273.3658049
145	273.159375
146	272.9999978
147	272.8284726
148	272.6365256
149	272.4759092
150	272.283351
151	272.1240415
152	271.9502205
153	271.8039705
154	271.642071
155	271.4635662
156	271.3211128
157	271.1242008
158	271.0083757
159	270.8294806
160	270.7007777
161	270.5728715
162	270.4381117
163	270.2725801
164	270.0532253
165	269.8891136
166	269.7347981
167	269.606516
168	269.4421597
169	269.261738
170	269.0937485
171	268.9011742
172	268.7753881
173	268.6208281
174	268.4933748
175	268.3451304
176	268.1915469
177	268.0567967
178	267.9133706
179	267.7844556
180	267.6004803
181	267.4320197
182	267.2953162
183	267.1500302
184	267.0315381
185	266.8996623
186	266.7813738
187	266.6430773
188	266.4865763
189	266.3478393
190	266.2109964
191	266.0817949
192	265.914768
193	265.7903742
194	265.6561999
195	265.512528
196	265.3555742
197	265.2677822
198	265.1591024
199	265.0019859
200	264.8954809
201	264.7871706
202	264.6516293
203	264.5157199
204	264.3866239
205	264.292241
206	264.2010862
207	264.0430537
208	263.9091887
209	263.7729716
210	263.6587028
211	263.5038965
212	263.3888922
213	263.2602473
214	263.1428281
215	263.0184565
216	262.883431
217	262.739333
218	262.6145728
219	262.5038727
220	262.3431801
221	262.246979
222	262.1000345
223	261.966336
224	261.904854
225	261.8175836
226	261.7102733
227	261.6410586
228	261.5494235
229	261.4699578
230	261.3557875
231	261.241917
232	261.0987855
233	260.9653688
234	260.847797
235	260.7306836
236	260.6033889
237	260.5117016
238	260.3981542
239	260.2885891
240	260.1545671
241	260.013952
242	259.9410084
243	259.8238188
244	259.6925331
245	259.6065164
246	259.5155235
247	259.4040626
248	259.3218161
249	259.2210265
250	259.1135747
251	258.9946284
252	258.8983847
253	258.8147755
254	258.6910147
255	258.6236844
256	258.468031
257	258.353012
258	258.2608891
259	258.1808607
260	258.0375241
261	257.9272817
262	257.8281209
263	257.7079106
264	257.6158062
265	257.5223841
266	257.4147508
267	257.3039057
268	257.2355692
269	257.1496716
270	257.075022
271	256.9880524
272	256.9170176
273	256.8497702
274	256.7505107
275	256.6646528
276	256.5982246
277	256.4981264
278	256.4013791
279	256.3153658
280	256.1906
281	256.1276351
282	256.0117672
283	255.9044538
284	255.8106866
285	255.7330971
286	255.6317908
287	255.573722
288	255.468815
289	255.3760288
290	255.2754514
291	255.1792952
292	255.0703731
293	254.9819547
294	254.8920331
295	254.8243773
296	254.7706797
297	254.6760394
298	254.5965717
299	254.4669848
300	254.3588741
301	254.2683825
302	254.1730209
303	254.0836002
304	253.9992323
305	253.9272642
306	253.8283405
307	253.6952563
308	253.6082181
309	253.531133
310	253.4363806
311	253.3362612
312	253.2404705
313	253.1525834
314	253.0696907
315	253.0085062
316	252.9188788
317	252.8435075
318	252.7585205
319	252.678186
320	252.561371
321	252.4786754
322	252.425281
323	252.3310037
324	252.2543702
325	252.1569053
326	252.0506644
327	251.9880565
328	251.9147689
329	251.8391657
330	251.7492789
331	251.6601842
332	251.6013068
333	251.5145158
334	251.4680652
335	251.4103606
336	251.301662
337	251.2209402
338	251.1582042
339	251.0691948
340	251.0178024
341	250.9279559
342	250.822169
343	250.7414701
344	250.6784171
