iter	Passed	Remaining
0	64	64107
1	116	58351
2	171	56896
3	227	56587
4	267	53184
5	308	51117
6	347	49249
7	386	47984
8	430	47393
9	480	47606
10	520	46825
11	562	46348
12	604	45915
13	658	46344
14	701	46079
15	741	45621
16	781	45179
17	828	45174
18	872	45052
19	916	44931
20	962	44866
21	1001	44528
22	1044	44354
23	1085	44153
24	1132	44175
25	1176	44088
26	1227	44240
27	1269	44067
28	1312	43962
29	1356	43867
30	1397	43698
31	1448	43810
32	1499	43942
33	1546	43940
34	1596	44022
35	1642	43971
36	1690	44008
37	1734	43919
38	1782	43925
39	1824	43796
40	1870	43762
41	1917	43743
42	1960	43639
43	2007	43619
44	2055	43614
45	2105	43669
46	2157	43744
47	2203	43709
48	2255	43783
49	2306	43828
50	2353	43790
51	2407	43899
52	2456	43891
53	2509	43967
54	2560	43989
55	2610	44011
56	2655	43935
57	2703	43901
58	2749	43859
59	2803	43926
60	2852	43915
61	2901	43896
62	2951	43899
63	3007	43991
64	3058	43999
65	3108	43983
66	3164	44063
67	3216	44091
68	3265	44061
69	3322	44144
70	3368	44073
71	3416	44032
72	3462	43972
73	3510	43931
74	3562	43937
75	3614	43946
76	3659	43869
77	3709	43851
78	3763	43878
79	3820	43930
80	3875	43972
81	3933	44034
82	3989	44073
83	4043	44090
84	4089	44017
85	4144	44047
86	4199	44072
87	4252	44070
88	4297	43988
89	4343	43919
90	4401	43963
91	4449	43918
92	4502	43911
93	4550	43863
94	4607	43888
95	4663	43909
96	4708	43834
97	4763	43840
98	4817	43840
99	4869	43821
100	4916	43757
101	4967	43733
102	5013	43657
103	5058	43581
104	5115	43603
105	5165	43568
106	5210	43489
107	5264	43483
108	5314	43444
109	5365	43407
110	5421	43421
111	5475	43410
112	5528	43397
113	5584	43400
114	5631	43339
115	5685	43326
116	5735	43285
117	5786	43253
118	5842	43257
119	5892	43213
120	5949	43218
121	6003	43208
122	6058	43199
123	6114	43197
124	6169	43187
125	6224	43176
126	6278	43161
127	6332	43141
128	6390	43148
129	6438	43089
130	6489	43050
131	6544	43035
132	6594	42987
133	6646	42951
134	6701	42940
135	6762	42958
136	6812	42914
137	6861	42862
138	6915	42834
139	6967	42799
140	7013	42729
141	7065	42689
142	7116	42646
143	7167	42608
144	7224	42596
145	7274	42550
146	7331	42539
147	7386	42521
148	7441	42500
149	7496	42478
150	7545	42426
151	7599	42398
152	7656	42386
153	7711	42365
154	7761	42314
155	7818	42301
156	7876	42290
157	7930	42262
158	7984	42234
159	8034	42179
160	8085	42135
161	8138	42098
162	8190	42059
163	8241	42013
164	8293	41970
165	8345	41930
166	8393	41868
167	8446	41832
168	8494	41767
169	8546	41727
170	8600	41693
171	8653	41658
172	8712	41647
173	8762	41596
174	8814	41555
175	8872	41539
176	8924	41494
177	8971	41431
178	9025	41398
179	9075	41343
180	9128	41305
181	9181	41268
182	9237	41242
183	9290	41202
184	9341	41151
185	9394	41115
186	9449	41081
187	9499	41029
188	9549	40975
189	9606	40955
190	9660	40916
191	9714	40880
192	9764	40827
193	9821	40803
194	9874	40765
195	9930	40735
196	9982	40688
197	10033	40642
198	10080	40573
199	10128	40515
200	10177	40457
201	10227	40402
202	10277	40350
203	10325	40289
204	10379	40252
205	10429	40199
206	10486	40171
207	10538	40126
208	10583	40054
209	10634	40005
210	10688	39967
211	10742	39930
212	10790	39868
213	10842	39823
214	10892	39771
215	10944	39724
216	10996	39679
217	11048	39631
218	11095	39567
219	11146	39520
220	11198	39473
221	11252	39433
222	11306	39393
223	11355	39337
224	11404	39281
225	11458	39244
226	11509	39193
227	11558	39135
228	11607	39081
229	11663	39046
230	11715	39000
231	11772	38972
232	11826	38929
233	11879	38888
234	11928	38832
235	11984	38797
236	12035	38745
237	12086	38697
238	12139	38654
239	12194	38617
240	12242	38556
241	12296	38517
242	12346	38461
243	12401	38423
244	12449	38363
245	12499	38312
246	12555	38277
247	12609	38234
248	12660	38183
249	12711	38134
250	12763	38087
251	12813	38033
